artifact_family,artifact_count,total_size_in_bytes,first_created_at,last_created_at,examples_json,decision,retention_class,canonical_replacement
gtbi-v{n}-framework-gate-pilot-{n}-{n},8,6211,2026-08-01T15:08:03Z,2026-08-02T14:55:13Z,"[""gtbi-v7-framework-gate-pilot-30705120871-1"",""gtbi-v7-framework-gate-pilot-30705928654-1"",""gtbi-v7-framework-gate-pilot-30706684930-1""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-framework-gate-plan-{n}-{n},8,3308604,2026-08-01T15:08:40Z,2026-08-02T14:56:11Z,"[""gtbi-v7-framework-gate-plan-30705120871-1"",""gtbi-v7-framework-gate-plan-30705928654-1"",""gtbi-v7-framework-gate-plan-30706684930-1""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-framework-gate-preflight-{n}-{n},8,2128,2026-08-01T15:05:48Z,2026-08-02T14:53:02Z,"[""gtbi-v7-framework-gate-preflight-30705120871-1"",""gtbi-v7-framework-gate-preflight-30705928654-1"",""gtbi-v7-framework-gate-preflight-30706684930-1""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-framework-gate-prepared-{n}-{n},8,910831,2026-08-01T15:06:23Z,2026-08-02T14:53:31Z,"[""gtbi-v7-framework-gate-prepared-30705120871-1"",""gtbi-v7-framework-gate-prepared-30705928654-1"",""gtbi-v7-framework-gate-prepared-30706684930-1""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-framework-gate-recovery-wave-{n}-{n}-{n},8,31680,2026-08-01T15:09:53Z,2026-08-02T14:57:32Z,"[""gtbi-v7-framework-gate-recovery-wave-0-30705120871-1"",""gtbi-v7-framework-gate-recovery-wave-0-30705928654-1"",""gtbi-v7-framework-gate-recovery-wave-0-30706684930-1""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-framework-gate-results,8,13873095,2026-08-01T15:13:38Z,2026-08-02T15:00:56Z,"[""gtbi-v7-framework-gate-results"",""gtbi-v7-framework-gate-results"",""gtbi-v7-framework-gate-results""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-framework-gate-sealed-final-stage-{n}-{n},8,13771991,2026-08-01T15:12:49Z,2026-08-02T15:00:07Z,"[""gtbi-v7-framework-gate-sealed-final-stage-30705120871-1"",""gtbi-v7-framework-gate-sealed-final-stage-30705928654-1"",""gtbi-v7-framework-gate-sealed-final-stage-30706684930-1""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-framework-gate-shard-g{n}-s{n}-a-{uuid},32,15582009,2026-08-01T15:09:10Z,2026-08-02T14:56:58Z,"[""gtbi-v7-framework-gate-shard-g000-s002-a-86a15f74-5a32-4fb6-bee4-84b1dbf7dffa"",""gtbi-v7-framework-gate-shard-g000-s000-a-b81c4577-a288-47fd-abcb-a4ca92973967"",""gtbi-v7-framework-gate-shard-g000-s003-a-0a0064fd-a790-429c-b1f8-aa0eb84a7691""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-framework-gate-smoke-{n}-{n},8,2080,2026-08-01T15:07:29Z,2026-08-02T14:54:44Z,"[""gtbi-v7-framework-gate-smoke-30705120871-1"",""gtbi-v7-framework-gate-smoke-30705928654-1"",""gtbi-v7-framework-gate-smoke-30706684930-1""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-framework-gate-timeline-{n}-{n},8,125384,2026-08-01T15:12:12Z,2026-08-02T14:59:35Z,"[""gtbi-v7-framework-gate-timeline-30705120871-1"",""gtbi-v7-framework-gate-timeline-30705928654-1"",""gtbi-v7-framework-gate-timeline-30706684930-1""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-framework-gate-unsealed-final-stage-{n}-{n},8,13504110,2026-08-01T15:11:34Z,2026-08-02T14:59:04Z,"[""gtbi-v7-framework-gate-unsealed-final-stage-30705120871-1"",""gtbi-v7-framework-gate-unsealed-final-stage-30705928654-1"",""gtbi-v7-framework-gate-unsealed-final-stage-30706684930-1""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-framework-gate-verified-stage-{n}-{n},8,13873095,2026-08-01T15:13:27Z,2026-08-02T15:00:46Z,"[""gtbi-v7-framework-gate-verified-stage-30705120871-1"",""gtbi-v7-framework-gate-verified-stage-30705928654-1"",""gtbi-v7-framework-gate-verified-stage-30706684930-1""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-framework-gate-wheelhouse-{n}-{n},8,1803302810,2026-08-01T15:05:06Z,2026-08-02T14:52:25Z,"[""gtbi-v7-framework-gate-wheelhouse-30705120871-1"",""gtbi-v7-framework-gate-wheelhouse-30705928654-1"",""gtbi-v7-framework-gate-wheelhouse-30706684930-1""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-merge-recovery-framework-gate-campaign-state-after-recovery-{n}-{n}-{n},2,8478,2026-08-02T16:12:59Z,2026-08-02T16:53:42Z,"[""gtbi-v7-merge-recovery-framework-gate-campaign-state-after-recovery-0-30755918301-1"",""gtbi-v7-merge-recovery-framework-gate-campaign-state-after-recovery-0-30757436940-1""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-merge-recovery-framework-gate-campaign-state-initial-{n}-{n},2,5306,2026-08-02T16:12:25Z,2026-08-02T16:52:51Z,"[""gtbi-v7-merge-recovery-framework-gate-campaign-state-initial-30755918301-1"",""gtbi-v7-merge-recovery-framework-gate-campaign-state-initial-30757436940-1""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-merge-recovery-framework-gate-campaign-state-merged-{n}-{n},2,10984,2026-08-02T16:14:27Z,2026-08-02T16:55:22Z,"[""gtbi-v7-merge-recovery-framework-gate-campaign-state-merged-30755918301-1"",""gtbi-v7-merge-recovery-framework-gate-campaign-state-merged-30757436940-1""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-merge-recovery-framework-gate-campaign-state-verified-{n}-{n},2,16004,2026-08-02T16:16:33Z,2026-08-02T16:57:36Z,"[""gtbi-v7-merge-recovery-framework-gate-campaign-state-verified-30755918301-1"",""gtbi-v7-merge-recovery-framework-gate-campaign-state-verified-30757436940-1""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-merge-recovery-framework-gate-contract-{n}-{n},2,13538,2026-08-02T16:09:54Z,2026-08-02T16:50:19Z,"[""gtbi-v7-merge-recovery-framework-gate-contract-30755918301-1"",""gtbi-v7-merge-recovery-framework-gate-contract-30757436940-1""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-merge-recovery-framework-gate-environment-{n}-{n},2,2565,2026-08-02T16:08:41Z,2026-08-02T16:49:11Z,"[""gtbi-v7-merge-recovery-framework-gate-environment-30755918301-1"",""gtbi-v7-merge-recovery-framework-gate-environment-30757436940-1""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-merge-recovery-framework-gate-pilot-{n}-{n},2,1561,2026-08-02T16:11:00Z,2026-08-02T16:51:28Z,"[""gtbi-v7-merge-recovery-framework-gate-pilot-30755918301-1"",""gtbi-v7-merge-recovery-framework-gate-pilot-30757436940-1""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-merge-recovery-framework-gate-plan-{n}-{n},2,827212,2026-08-02T16:11:35Z,2026-08-02T16:52:12Z,"[""gtbi-v7-merge-recovery-framework-gate-plan-30755918301-1"",""gtbi-v7-merge-recovery-framework-gate-plan-30757436940-1""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-merge-recovery-framework-gate-preflight-{n}-{n},2,532,2026-08-02T16:08:41Z,2026-08-02T16:49:10Z,"[""gtbi-v7-merge-recovery-framework-gate-preflight-30755918301-1"",""gtbi-v7-merge-recovery-framework-gate-preflight-30757436940-1""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-merge-recovery-framework-gate-prepared-{n}-{n},2,227713,2026-08-02T16:09:17Z,2026-08-02T16:49:39Z,"[""gtbi-v7-merge-recovery-framework-gate-prepared-30755918301-1"",""gtbi-v7-merge-recovery-framework-gate-prepared-30757436940-1""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-merge-recovery-framework-gate-recovery-wave-{n}-{n}-{n},2,8040,2026-08-02T16:12:58Z,2026-08-02T16:53:41Z,"[""gtbi-v7-merge-recovery-framework-gate-recovery-wave-0-30755918301-1"",""gtbi-v7-merge-recovery-framework-gate-recovery-wave-0-30757436940-1""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-merge-recovery-framework-gate-results,2,3468822,2026-08-02T16:16:42Z,2026-08-02T16:57:47Z,"[""gtbi-v7-merge-recovery-framework-gate-results"",""gtbi-v7-merge-recovery-framework-gate-results""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-merge-recovery-framework-gate-sealed-final-stage-{n}-{n},2,3443546,2026-08-02T16:15:49Z,2026-08-02T16:56:54Z,"[""gtbi-v7-merge-recovery-framework-gate-sealed-final-stage-30755918301-1"",""gtbi-v7-merge-recovery-framework-gate-sealed-final-stage-30757436940-1""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-merge-recovery-framework-gate-shard-g{n}-s{n}-a-{uuid},8,3896292,2026-08-02T16:12:07Z,2026-08-02T16:53:03Z,"[""gtbi-v7-merge-recovery-framework-gate-shard-g000-s000-a-e183efaf-d843-497e-bb85-f7ce8d23387e"",""gtbi-v7-merge-recovery-framework-gate-shard-g000-s002-a-fe0be4d8-955a-4b34-b086-2af9ad0b67f6"",""gtbi-v7-merge-recovery-framework-gate-shard-g000-s001-a-d0195256-6f22-456c-ad20-daf644711504""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-merge-recovery-framework-gate-smoke-{n}-{n},2,520,2026-08-02T16:10:31Z,2026-08-02T16:51:01Z,"[""gtbi-v7-merge-recovery-framework-gate-smoke-30755918301-1"",""gtbi-v7-merge-recovery-framework-gate-smoke-30757436940-1""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-merge-recovery-framework-gate-timeline-{n}-{n},2,31224,2026-08-02T16:15:02Z,2026-08-02T16:56:06Z,"[""gtbi-v7-merge-recovery-framework-gate-timeline-30755918301-1"",""gtbi-v7-merge-recovery-framework-gate-timeline-30757436940-1""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-merge-recovery-framework-gate-unsealed-final-stage-{n}-{n},2,3376699,2026-08-02T16:14:28Z,2026-08-02T16:55:23Z,"[""gtbi-v7-merge-recovery-framework-gate-unsealed-final-stage-30755918301-1"",""gtbi-v7-merge-recovery-framework-gate-unsealed-final-stage-30757436940-1""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-merge-recovery-framework-gate-verified-stage-{n}-{n},2,3468822,2026-08-02T16:16:34Z,2026-08-02T16:57:37Z,"[""gtbi-v7-merge-recovery-framework-gate-verified-stage-30755918301-1"",""gtbi-v7-merge-recovery-framework-gate-verified-stage-30757436940-1""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-merge-recovery-framework-gate-wheelhouse-{n}-{n},2,450847856,2026-08-02T16:08:04Z,2026-08-02T16:48:27Z,"[""gtbi-v7-merge-recovery-framework-gate-wheelhouse-30755918301-1"",""gtbi-v7-merge-recovery-framework-gate-wheelhouse-30757436940-1""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-new-reference-benchmark-{n},2,2097,2026-08-01T18:21:07Z,2026-08-02T15:15:58Z,"[""gtbi-v7-new-reference-benchmark-30711888288"",""gtbi-v7-new-reference-benchmark-30753537622""]",keep,canonical_scientific,gtbi-v{n}-new-reference-benchmark-{n}
gtbi-v{n}-new-reference-historical-data-{n},7,1143771356,2026-08-01T15:38:44Z,2026-08-02T15:03:18Z,"[""gtbi-v7-new-reference-historical-data-30705928654"",""gtbi-v7-new-reference-historical-data-30706684930"",""gtbi-v7-new-reference-historical-data-30707832824""]",keep,canonical_scientific,gtbi-v{n}-new-reference-historical-data-{n}
gtbi-v{n}-new-reference-historical-results,1,882513733,2026-08-02T17:01:58Z,2026-08-02T17:01:58Z,"[""gtbi-v7-new-reference-historical-results""]",keep,canonical_scientific,gtbi-v{n}-new-reference-historical-results
gtbi-v{n}-new-reference-plan-{n},7,30087309,2026-08-01T15:38:46Z,2026-08-02T15:03:21Z,"[""gtbi-v7-new-reference-plan-30705928654"",""gtbi-v7-new-reference-plan-30706684930"",""gtbi-v7-new-reference-plan-30707832824""]",keep,canonical_scientific,gtbi-v{n}-new-reference-plan-{n}
gtbi-v{n}-new-reference-preservation-{n},1,770,2026-08-02T17:04:29Z,2026-08-02T17:04:29Z,"[""gtbi-v7-new-reference-preservation-30757436940""]",keep,canonical_scientific,gtbi-v{n}-new-reference-preservation-{n}
gtbi-v{n}-new-reference-smoke-{n},1,695,2026-08-02T15:25:09Z,2026-08-02T15:25:09Z,"[""gtbi-v7-new-reference-smoke-30753988100""]",keep,canonical_scientific,gtbi-v{n}-new-reference-smoke-{n}
gtbi-v{n}-plan-{n},2,9230460,2026-07-11T17:05:12Z,2026-07-11T17:33:19Z,"[""gtbi-v6-plan-29160915719"",""gtbi-v6-plan-29161769368""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-preservation-lease-{n},1,1962214355,2026-07-29T14:58:48Z,2026-07-29T14:58:48Z,"[""gtbi-v6-preservation-lease-30463490346""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-runner-{n}-{n},90,846267896,2026-08-02T15:29:56Z,2026-08-02T15:32:35Z,"[""gtbi-v7-runner-052-30754340279"",""gtbi-v7-runner-087-30754340279"",""gtbi-v7-runner-018-30754340279""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-smoke-worker-{n}-{n},200,464732747,2026-08-01T18:24:05Z,2026-08-02T15:20:46Z,"[""gtbi-v7-smoke-worker-069-30712357499"",""gtbi-v7-smoke-worker-052-30712357499"",""gtbi-v7-smoke-worker-023-30712357499""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-state-controller-g{n}-github-actions-envelope-v{n}-{n},1,1063,2026-08-01T10:26:30Z,2026-08-01T10:26:30Z,"[""gtbi-v7-state-controller-g2-github-actions-envelope-v1-30695705582""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-state-controller-g{n}-owner-close-v{n}-{n},1,1175,2026-07-30T15:55:21Z,2026-07-30T15:55:21Z,"[""gtbi-v7-state-controller-g0-owner-close-v1-30559028377""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-state-controller-g{n}-provider-terms-acceptance-v{n}-{n},2,2078,2026-08-01T06:41:27Z,2026-08-01T06:41:52Z,"[""gtbi-v7-state-controller-g2-provider-terms-acceptance-v1-30688217956"",""gtbi-v7-state-controller-g2-provider-terms-acceptance-v1-30688229265""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-state-controller-g{n}-reproducibility-classification-v{n}-{n},2,2090,2026-07-31T18:14:17Z,2026-07-31T18:14:46Z,"[""gtbi-v7-state-controller-g2-reproducibility-classification-v1-30654344478"",""gtbi-v7-state-controller-g2-reproducibility-classification-v1-30654371157""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-state-controller-g{n}-retention-policy-v{n}-{n},2,2072,2026-07-31T19:00:14Z,2026-07-31T19:00:48Z,"[""gtbi-v7-state-controller-g2-retention-policy-v1-30657389197"",""gtbi-v7-state-controller-g2-retention-policy-v1-30657437294""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-state-controller-g{n}-scientific-asset-contract-v{n}-{n},1,1041,2026-08-01T09:26:37Z,2026-08-01T09:26:37Z,"[""gtbi-v7-state-controller-g2-scientific-asset-contract-v1-30693745720""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-state-controller-g{n}-v{n}-input-identity-no-baseline-v{n}-{n},1,1075,2026-08-01T11:11:27Z,2026-08-01T11:11:27Z,"[""gtbi-v7-state-controller-g2-v6-input-identity-no-baseline-v1-30697197635""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-state-controller-g{n}-v{n}-production-promotion-restore-v{n}-{n},1,1053,2026-08-01T10:13:42Z,2026-08-01T10:13:42Z,"[""gtbi-v7-state-controller-g2-v6-production-promotion-restore-v1-30695288489""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-state-controller-g{n}a-identity-close-v{n}-{n},1,1067,2026-07-30T17:49:13Z,2026-07-30T17:49:13Z,"[""gtbi-v7-state-controller-g1a-identity-close-v1-30567649344""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-state-controller-g{n}a-minimum-governance-close-v{n}-{n},4,4222,2026-07-31T12:17:18Z,2026-07-31T12:44:50Z,"[""gtbi-v7-state-controller-g3a-minimum-governance-close-v1-30630043634"",""gtbi-v7-state-controller-g3a-minimum-governance-close-v1-30630073918"",""gtbi-v7-state-controller-g3a-minimum-governance-close-v1-30631697514""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-state-controller-g{n}a-owner-auth-close-v{n}-{n},2,2180,2026-07-31T13:58:02Z,2026-07-31T13:59:02Z,"[""gtbi-v7-state-controller-g3a-owner-auth-close-v1-30636580504"",""gtbi-v7-state-controller-g3a-owner-auth-close-v1-30636646934""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-state-controller-g{n}b-codeowners-owner-v{n}-{n},2,2082,2026-07-31T15:08:35Z,2026-07-31T15:09:25Z,"[""gtbi-v7-state-controller-g3b-codeowners-owner-v1-30641587455"",""gtbi-v7-state-controller-g3b-codeowners-owner-v1-30641650036""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-state-controller-g{n}b-preservation-owner-v{n}-{n},2,2084,2026-07-31T17:21:51Z,2026-07-31T17:22:30Z,"[""gtbi-v7-state-controller-g3b-preservation-owner-v1-30650853348"",""gtbi-v7-state-controller-g3b-preservation-owner-v1-30650893319""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-state-controller-g{n}b-role-registry-close-v{n}-{n},2,2106,2026-07-30T18:52:32Z,2026-07-30T19:37:49Z,"[""gtbi-v7-state-controller-g1b-role-registry-close-v1-30572324480"",""gtbi-v7-state-controller-g1b-role-registry-close-v1-30575638419""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-state-controller-g{n}b-stage-two-owner-v{n}-{n},2,2080,2026-07-31T16:38:04Z,2026-07-31T16:39:00Z,"[""gtbi-v7-state-controller-g3b-stage-two-owner-v1-30647891499"",""gtbi-v7-state-controller-g3b-stage-two-owner-v1-30647948043""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-state-controller-state-controller-smoke-v{n}-{n},1,1034,2026-07-30T15:22:03Z,2026-07-30T15:22:03Z,"[""gtbi-v7-state-controller-state-controller-smoke-v1-30556296057""]",archive,historical_reference,gtbi_v7_new_reference_v1
gtbi-v{n}-worker-{n}-attempt-{n}-run-{n},460,2460762411,2026-07-11T17:10:13Z,2026-07-11T17:43:22Z,"[""gtbi-v6-worker-52-attempt-0-run-29160915719"",""gtbi-v6-worker-69-attempt-0-run-29160915719"",""gtbi-v6-worker-19-attempt-0-run-29160915719""]",archive,historical_reference,gtbi_v7_new_reference_v1
literature-campaign-data-sp{n}_down_alpha_{n}_real_{n}_v{n},1,12657409,2026-06-02T18:07:28Z,2026-06-02T18:07:28Z,"[""literature-campaign-data-sp500_down_alpha_20_real_1995_v1""]",archive,historical_reference,none
literature-campaign-data-sp{n}_down_papers_curated_precision_v{n},1,12657127,2026-06-05T19:36:40Z,2026-06-05T19:36:40Z,"[""literature-campaign-data-sp500_down_papers_curated_precision_v2""]",archive,historical_reference,none
literature-campaign-data-sp{n}_down_papers_curated_precision_v{n}_{n}x,1,12656239,2026-06-05T19:47:49Z,2026-06-05T19:47:49Z,"[""literature-campaign-data-sp500_down_papers_curated_precision_v3_1x""]",archive,historical_reference,none
literature-campaign-data-sp{n}_down_papers_curated_v{n},3,37970812,2026-06-05T18:38:50Z,2026-06-05T19:24:10Z,"[""literature-campaign-data-sp500_down_papers_curated_v1"",""literature-campaign-data-sp500_down_papers_curated_v1"",""literature-campaign-data-sp500_down_papers_curated_v1""]",archive,historical_reference,none
literature-campaign-prepare-sp{n}_down_alpha_{n}_real_{n}_v{n},1,20303801,2026-06-02T18:03:55Z,2026-06-02T18:03:55Z,"[""literature-campaign-prepare-sp500_down_alpha_20_real_1995_v1""]",archive,historical_reference,none
literature-campaign-prepare-sp{n}_down_papers_curated_precision_v{n},1,44613,2026-06-05T19:33:17Z,2026-06-05T19:33:17Z,"[""literature-campaign-prepare-sp500_down_papers_curated_precision_v2""]",archive,historical_reference,none
literature-campaign-prepare-sp{n}_down_papers_curated_precision_v{n}_{n}x,1,44624,2026-06-05T19:44:34Z,2026-06-05T19:44:34Z,"[""literature-campaign-prepare-sp500_down_papers_curated_precision_v3_1x""]",archive,historical_reference,none
literature-campaign-prepare-sp{n}_down_papers_curated_v{n},3,133830,2026-06-05T18:35:25Z,2026-06-05T19:20:36Z,"[""literature-campaign-prepare-sp500_down_papers_curated_v1"",""literature-campaign-prepare-sp500_down_papers_curated_v1"",""literature-campaign-prepare-sp500_down_papers_curated_v1""]",archive,historical_reference,none
literature-campaign-sp{n}_down_alpha_{n}_real_{n}_v{n}-chunk-{n},180,12933337,2026-06-02T18:08:24Z,2026-06-02T18:08:59Z,"[""literature-campaign-sp500_down_alpha_20_real_1995_v1-chunk-32"",""literature-campaign-sp500_down_alpha_20_real_1995_v1-chunk-157"",""literature-campaign-sp500_down_alpha_20_real_1995_v1-chunk-43""]",archive,historical_reference,none
literature-campaign-sp{n}_down_papers_curated_precision_v{n}-chunk-{n},355,1013146,2026-06-05T19:37:34Z,2026-06-05T19:37:59Z,"[""literature-campaign-sp500_down_papers_curated_precision_v2-chunk-237"",""literature-campaign-sp500_down_papers_curated_precision_v2-chunk-61"",""literature-campaign-sp500_down_papers_curated_precision_v2-chunk-278""]",archive,historical_reference,none
literature-campaign-sp{n}_down_papers_curated_precision_v{n}-results,1,447403,2026-06-05T19:39:06Z,2026-06-05T19:39:06Z,"[""literature-campaign-sp500_down_papers_curated_precision_v2-results""]",archive,historical_reference,none
literature-campaign-sp{n}_down_papers_curated_precision_v{n}_{n}x-chunk-{n},355,1012733,2026-06-05T19:48:41Z,2026-06-05T19:49:11Z,"[""literature-campaign-sp500_down_papers_curated_precision_v3_1x-chunk-195"",""literature-campaign-sp500_down_papers_curated_precision_v3_1x-chunk-304"",""literature-campaign-sp500_down_papers_curated_precision_v3_1x-chunk-77""]",archive,historical_reference,none
literature-campaign-sp{n}_down_papers_curated_precision_v{n}_{n}x-results,1,441924,2026-06-05T19:50:16Z,2026-06-05T19:50:16Z,"[""literature-campaign-sp500_down_papers_curated_precision_v3_1x-results""]",archive,historical_reference,none
literature-campaign-sp{n}_down_papers_curated_v{n}-chunk-{n},1065,3249747,2026-06-05T18:39:43Z,2026-06-05T19:25:30Z,"[""literature-campaign-sp500_down_papers_curated_v1-chunk-234"",""literature-campaign-sp500_down_papers_curated_v1-chunk-12"",""literature-campaign-sp500_down_papers_curated_v1-chunk-193""]",archive,historical_reference,none
literature-campaign-sp{n}_down_papers_curated_v{n}-results,2,1064228,2026-06-05T19:13:48Z,2026-06-05T19:26:36Z,"[""literature-campaign-sp500_down_papers_curated_v1-results"",""literature-campaign-sp500_down_papers_curated_v1-results""]",archive,historical_reference,none
literature-pdf-manifest-{n},5,16834350,2026-06-01T15:43:51Z,2026-06-01T17:18:16Z,"[""literature-pdf-manifest-29855"",""literature-pdf-manifest-29855"",""literature-pdf-manifest-29855""]",archive,historical_reference,none
literature-pdf-text-chunk-{n},842,1400377867,2026-06-01T15:52:24Z,2026-06-01T18:00:42Z,"[""literature-pdf-text-chunk-151"",""literature-pdf-text-chunk-124"",""literature-pdf-text-chunk-20""]",archive,historical_reference,none
literature-pdf-text-extract-{n}-results,3,1315361209,2026-06-01T18:02:48Z,2026-06-01T18:54:23Z,"[""literature-pdf-text-extract-29855-results"",""literature-pdf-text-extract-29855-results"",""literature-pdf-text-extract-29855-results""]",archive,historical_reference,none
literature-sharpe{n}-paper-variants-chunk-{n},720,30971776,2026-06-07T14:43:28Z,2026-06-07T14:57:00Z,"[""literature-sharpe2-paper-variants-chunk-252"",""literature-sharpe2-paper-variants-chunk-307"",""literature-sharpe2-paper-variants-chunk-235""]",archive,historical_reference,none
literature-sharpe{n}-paper-variants-data,2,25315037,2026-06-07T14:42:32Z,2026-06-07T14:55:29Z,"[""literature-sharpe2-paper-variants-data"",""literature-sharpe2-paper-variants-data""]",archive,historical_reference,none
literature-sharpe{n}-paper-variants-prepare,2,5425736,2026-06-07T14:38:29Z,2026-06-07T14:52:31Z,"[""literature-sharpe2-paper-variants-prepare"",""literature-sharpe2-paper-variants-prepare""]",archive,historical_reference,none
literature-sharpe{n}-paper-variants-results,2,87113322,2026-06-07T14:46:08Z,2026-06-07T14:58:26Z,"[""literature-sharpe2-paper-variants-results"",""literature-sharpe2-paper-variants-results""]",archive,historical_reference,none
literature-strategy-backtest-{n}-chunk-{n},180,2398990,2026-06-02T05:14:25Z,2026-06-02T05:14:55Z,"[""literature-strategy-backtest-9419-chunk-7"",""literature-strategy-backtest-9419-chunk-35"",""literature-strategy-backtest-9419-chunk-112""]",archive,historical_reference,none
literature-strategy-backtest-{n}-data,2,25313848,2026-06-01T20:22:42Z,2026-06-02T05:13:35Z,"[""literature-strategy-backtest-9419-data"",""literature-strategy-backtest-9419-data""]",archive,historical_reference,none
literature-strategy-backtest-{n}-{n}h-results,1,4552251,2026-06-02T05:15:48Z,2026-06-02T05:15:48Z,"[""literature-strategy-backtest-9419-9h-results""]",archive,historical_reference,none
literature-strategy-idea-discovery,3,4645393752,2026-05-29T13:55:12Z,2026-05-29T18:00:19Z,"[""literature-strategy-idea-discovery"",""literature-strategy-idea-discovery"",""literature-strategy-idea-discovery""]",archive,historical_reference,none
minervini-sepa-marketcap{n}b-daily-screener-results,1,142892,2026-06-20T17:47:02Z,2026-06-20T17:47:02Z,"[""minervini-sepa-marketcap2b-daily-screener-results""]",archive,historical_reference,none
minervini-sepa-usa-europe-{n}m-daily-screener-results,1,1538365,2026-06-30T18:06:28Z,2026-06-30T18:06:28Z,"[""minervini-sepa-usa-europe-50m-daily-screener-results""]",archive,historical_reference,none
minervini-sepa-{n}m-at,2,109352,2026-06-20T18:30:18Z,2026-06-30T17:50:59Z,"[""minervini-sepa-50m-at"",""minervini-sepa-50m-at""]",archive,historical_reference,none
minervini-sepa-{n}m-be,2,14831,2026-06-20T18:28:52Z,2026-06-30T17:49:53Z,"[""minervini-sepa-50m-be"",""minervini-sepa-50m-be""]",archive,historical_reference,none
minervini-sepa-{n}m-ch,2,30053,2026-06-20T18:29:01Z,2026-06-30T17:50:07Z,"[""minervini-sepa-50m-ch"",""minervini-sepa-50m-ch""]",archive,historical_reference,none
minervini-sepa-{n}m-de,2,1044662,2026-06-20T18:43:13Z,2026-06-30T18:03:34Z,"[""minervini-sepa-50m-de"",""minervini-sepa-50m-de""]",archive,historical_reference,none
minervini-sepa-{n}m-dk,2,19056,2026-06-20T18:28:57Z,2026-06-30T17:49:53Z,"[""minervini-sepa-50m-dk"",""minervini-sepa-50m-dk""]",archive,historical_reference,none
minervini-sepa-{n}m-es,2,25317,2026-06-20T18:29:02Z,2026-06-30T17:49:54Z,"[""minervini-sepa-50m-es"",""minervini-sepa-50m-es""]",archive,historical_reference,none
